episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,double_dqn,0,-883.5,230,141,lose,0.9704869503929601
2,double_dqn,0,-857.5,330,175,lose,0.9418449208830277
3,double_dqn,0,-847.0,190,102,lose,0.9140482050108684
4,double_dqn,0,-814.5,260,123,lose,0.8870718549931568
5,double_dqn,0,-729.0,320,120,lose,0.8608916593317348
6,double_dqn,0,-753.5,170,61,lose,0.8354841210835904
7,double_dqn,0,-703.5,660,269,lose,0.8108264367721563
8,double_dqn,0,-903.0,290,186,lose,0.7868964759210002
9,double_dqn,0,-1032.0,450,332,lose,0.7636727611915388
10,double_dqn,0,-658.5,310,85,lose,0.7411344491069478
11,double_dqn,0,-743.0,330,144,lose,0.7192613113449683
12,double_dqn,0,-803.0,700,350,lose,0.6980337165828197
13,double_dqn,0,-922.0,310,198,lose,0.6774326128779244
14,double_dqn,0,-965.5,540,349,lose,0.6574395105686316
15,double_dqn,0,-932.5,630,355,lose,0.6380364656795915
16,double_dqn,0,-629.5,380,119,lose,0.6192060638168893
17,double_dqn,0,-914.5,470,269,lose,0.6009314045384815
18,double_dqn,0,-963.0,430,268,lose,0.5831960861859091
19,double_dqn,0,-638.0,650,250,lose,0.5659841911636728
20,double_dqn,0,-663.0,560,210,lose,0.5492802716530589
21,double_dqn,0,-694.0,540,214,lose,0.5330693357475939
22,double_dqn,0,-720.0,450,182,lose,0.5173368339976833
23,double_dqn,0,-497.0,700,206,lose,0.5020686463523607
24,double_dqn,0,-743.5,570,253,lose,0.4872510694864241
25,double_dqn,0,-699.0,690,296,lose,0.472870804501588
26,double_dqn,0,-565.5,590,189,lose,0.45891494499061175
27,double_dqn,0,-1132.0,490,360,lose,0.4453709654536918
28,double_dqn,0,-921.0,580,328,lose,0.43222671005672175
29,double_dqn,0,-786.5,520,263,lose,0.41947038172133005
30,double_dqn,0,-446.5,630,145,lose,0.40709053153690444
31,double_dqn,0,-824.5,660,325,lose,0.39507604848509953
32,double_dqn,0,-656.5,380,119,lose,0.3834161494676055
33,double_dqn,0,-700.5,430,169,lose,0.3721003696282278
34,double_dqn,0,-644.5,660,247,lose,0.36111855296059203
35,double_dqn,0,-827.0,630,400,timeout,0.3504608431930436
36,double_dqn,0,-836.0,660,400,timeout,0.3401176749425623
37,double_dqn,0,-682.5,600,227,lose,0.33007976512975135
38,double_dqn,0,-638.5,630,241,lose,0.3203381046471969
39,double_dqn,0,-971.0,710,388,lose,0.31088395027371907
40,double_dqn,0,-797.0,660,400,timeout,0.30170881682725825
41,double_dqn,0,-676.5,590,237,lose,0.2928044695493541
42,double_dqn,0,-564.5,680,235,lose,0.284162916714381
43,double_dqn,0,-769.0,630,280,lose,0.2757764024569083
44,double_dqn,0,-830.0,590,298,lose,0.2676373998107466
45,double_dqn,0,-760.5,870,377,lose,0.25973860395343285
46,double_dqn,0,-586.0,770,248,lose,0.2520729256500919
47,double_dqn,0,-561.0,660,230,lose,0.244633484890789
48,double_dqn,0,-664.5,460,169,lose,0.2374136047156641
49,double_dqn,0,-769.0,700,400,timeout,0.23040680522230456
50,double_dqn,0,-689.5,850,375,lose,0.2236067977499791
51,double_dqn,0,-638.0,630,222,lose,0.2170074792355126
52,double_dqn,0,-654.0,600,218,lose,0.21060292673573625
53,double_dqn,0,-508.0,680,206,lose,0.20438739211159668
54,double_dqn,0,-688.0,610,252,lose,0.1983552968691536
55,double_dqn,0,-655.5,630,263,lose,0.19250122715283513
56,double_dqn,0,-662.5,800,305,lose,0.18681992888645743
57,double_dqn,0,-539.0,730,400,timeout,0.18130630305764775
58,double_dqn,0,-605.0,650,250,lose,0.17595540114143837
59,double_dqn,0,-489.5,800,247,lose,0.1707624206589245
60,double_dqn,0,-548.5,680,227,lose,0.16572270086699945
61,double_dqn,0,-611.0,690,258,lose,0.16083171857529904
62,double_dqn,0,-498.5,660,207,lose,0.15608508408660077
63,double_dqn,0,-513.5,660,219,lose,0.15147853725703392
64,double_dqn,0,-470.5,690,205,lose,0.14700794367256523
65,double_dqn,0,-490.0,580,162,lose,0.1426692909383279
66,double_dqn,0,-618.0,660,242,lose,0.1384586850774638
67,double_dqn,0,-610.5,680,249,lose,0.1343723470362471
68,double_dqn,0,-443.5,690,199,lose,0.13040660929235195
69,double_dqn,0,-541.0,750,274,lose,0.1265579125632209
70,double_dqn,0,-507.5,670,209,lose,0.12282280261157914
71,double_dqn,0,-451.0,690,214,lose,0.11919792714522794
72,double_dqn,0,-749.0,740,358,lose,0.1156800328083345
73,double_dqn,0,-661.5,730,355,lose,0.11226596226151811
74,double_dqn,0,-548.0,730,260,lose,0.10895265134811186
75,double_dqn,0,-676.0,730,400,timeout,0.1057371263440565
76,double_dqn,0,-666.5,670,353,lose,0.10261650128895852
77,double_dqn,0,-581.5,700,339,lose,0.09958797539591661
78,double_dqn,0,-519.5,720,255,lose,0.09664883053779226
79,double_dqn,0,-484.5,720,245,lose,0.093796428807668
80,double_dqn,0,-518.5,710,299,lose,0.0910282101513041
81,double_dqn,0,-379.0,680,164,lose,0.08834169006946861
82,double_dqn,0,-442.5,730,277,lose,0.08573445738807864
83,double_dqn,0,-450.0,700,256,lose,0.08320417209415162
84,double_dqn,0,-512.5,690,283,lose,0.08074856323562424
85,double_dqn,0,-665.0,680,388,lose,0.07836542688315407
86,double_dqn,0,-551.5,690,241,lose,0.07605262415207469
87,double_dqn,0,-351.5,690,201,lose,0.07380807928272894
88,double_dqn,0,-529.5,710,303,lose,0.07162977777745742
89,double_dqn,0,-334.0,730,198,lose,0.06951576459257007
90,double_dqn,0,-309.5,690,171,lose,0.06746414238367823
91,double_dqn,0,-309.0,700,196,lose,0.06547306980281233
92,double_dqn,0,-395.0,680,268,lose,0.06354075984579674
93,double_dqn,0,-368.0,640,182,lose,0.06166547824839873
94,double_dqn,0,-186.5,910,245,lose,0.059845541929811896
95,double_dqn,0,-463.0,690,280,lose,0.05807931748207717
96,double_dqn,0,-266.0,700,182,lose,0.0563652197040856
97,double_dqn,0,-279.0,710,138,lose,0.05470171017884722
98,double_dqn,0,-280.0,690,184,lose,0.053087295892748985
99,double_dqn,0,-332.5,640,159,lose,0.051520527895562676
100,double_dqn,0,-335.5,700,207,lose,0.05000000000000005
101,double_dqn,0,-442.5,640,181,lose,0.05
102,double_dqn,0,-846.5,650,355,lose,0.05
103,double_dqn,0,-473.5,630,277,lose,0.05
104,double_dqn,0,-366.5,690,285,lose,0.05
105,double_dqn,0,-596.5,720,301,lose,0.05
106,double_dqn,0,-299.5,700,249,lose,0.05
107,double_dqn,0,-388.5,720,365,lose,0.05
108,double_dqn,0,-512.0,710,400,lose,0.05
109,double_dqn,0,-327.0,710,222,lose,0.05
110,double_dqn,0,-456.5,720,345,lose,0.05
111,double_dqn,0,-382.5,740,291,lose,0.05
112,double_dqn,0,-351.5,660,171,lose,0.05
113,double_dqn,0,-288.0,740,222,lose,0.05
114,double_dqn,0,-182.0,720,400,timeout,0.05
115,double_dqn,0,-261.5,740,181,lose,0.05
116,double_dqn,0,-236.0,720,400,timeout,0.05
117,double_dqn,0,-341.0,690,400,timeout,0.05
118,double_dqn,0,-352.0,720,220,lose,0.05
119,double_dqn,0,-460.0,740,392,lose,0.05
120,double_dqn,0,-342.5,740,343,lose,0.05
121,double_dqn,0,-129.0,740,400,timeout,0.05
122,double_dqn,0,-213.0,740,222,lose,0.05
123,double_dqn,0,-284.0,740,286,lose,0.05
124,double_dqn,0,-3.0,750,400,timeout,0.05
125,double_dqn,0,-329.5,740,329,lose,0.05
126,double_dqn,0,-198.0,740,400,timeout,0.05
127,double_dqn,0,-115.5,940,229,lose,0.05
128,double_dqn,0,-277.5,740,225,lose,0.05
129,double_dqn,0,-319.0,710,260,lose,0.05
130,double_dqn,0,-153.5,940,257,lose,0.05
131,double_dqn,0,-376.0,700,342,lose,0.05
132,double_dqn,0,-171.0,740,400,timeout,0.05
133,double_dqn,0,-249.0,740,400,timeout,0.05
134,double_dqn,0,-303.5,740,289,lose,0.05
135,double_dqn,0,-256.5,740,243,lose,0.05
136,double_dqn,0,-243.5,720,201,lose,0.05
137,double_dqn,0,-274.5,710,243,lose,0.05
138,double_dqn,0,-386.0,720,366,lose,0.05
139,double_dqn,0,-34.5,920,237,lose,0.05
140,double_dqn,0,-246.0,750,284,lose,0.05
141,double_dqn,0,-253.5,720,275,lose,0.05
142,double_dqn,0,-176.0,750,400,timeout,0.05
143,double_dqn,0,45.0,950,400,timeout,0.05
144,double_dqn,0,-271.5,730,283,lose,0.05
145,double_dqn,0,-111.5,950,343,lose,0.05
146,double_dqn,0,-285.0,740,336,lose,0.05
147,double_dqn,0,-138.0,740,400,timeout,0.05
148,double_dqn,0,-223.0,730,186,lose,0.05
149,double_dqn,0,-351.0,710,240,lose,0.05
150,double_dqn,0,-339.5,750,321,lose,0.05
151,double_dqn,0,-251.0,720,258,lose,0.05
152,double_dqn,0,-377.0,720,400,timeout,0.05
153,double_dqn,0,-262.5,730,241,lose,0.05
154,double_dqn,0,-182.0,720,400,timeout,0.05
155,double_dqn,0,-274.5,720,257,lose,0.05
156,double_dqn,0,-307.5,720,245,lose,0.05
157,double_dqn,0,-280.5,720,299,lose,0.05
158,double_dqn,0,-302.5,700,261,lose,0.05
159,double_dqn,0,-304.0,730,400,timeout,0.05
160,double_dqn,0,-287.5,710,191,lose,0.05
161,double_dqn,0,-366.5,740,391,lose,0.05
162,double_dqn,0,-311.0,720,312,lose,0.05
163,double_dqn,0,-147.0,740,400,timeout,0.05
164,double_dqn,0,-263.0,730,278,lose,0.05
165,double_dqn,0,-397.0,740,302,lose,0.05
166,double_dqn,0,-326.0,720,192,lose,0.05
167,double_dqn,0,-369.5,740,229,lose,0.05
