episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,dqn,0,-814.0,280,144,lose,0.9704869503929601
2,dqn,0,-964.0,180,160,lose,0.9418449208830277
3,dqn,0,-813.5,230,121,lose,0.9140482050108684
4,dqn,0,-1072.5,570,395,lose,0.8870718549931568
5,dqn,0,-816.0,310,160,lose,0.8608916593317348
6,dqn,0,-684.0,410,150,lose,0.8354841210835904
7,dqn,0,-680.5,390,145,lose,0.8108264367721563
8,dqn,0,-994.0,480,316,lose,0.7868964759210002
9,dqn,0,-895.0,550,400,timeout,0.7636727611915388
10,dqn,0,-937.0,360,232,lose,0.7411344491069478
11,dqn,0,-1124.5,380,317,lose,0.7192613113449683
12,dqn,0,-1014.5,530,337,lose,0.6980337165828197
13,dqn,0,-793.0,410,200,lose,0.6774326128779244
14,dqn,0,-777.5,240,111,lose,0.6574395105686316
15,dqn,0,-857.0,350,190,lose,0.6380364656795915
16,dqn,0,-696.0,690,284,lose,0.6192060638168893
17,dqn,0,-766.0,360,154,lose,0.6009314045384815
18,dqn,0,-877.5,420,245,lose,0.5831960861859091
19,dqn,0,-731.0,520,212,lose,0.5659841911636728
20,dqn,0,-809.5,440,221,lose,0.5492802716530589
21,dqn,0,-714.0,410,168,lose,0.5330693357475939
22,dqn,0,-726.0,660,290,lose,0.5173368339976833
23,dqn,0,-933.0,470,294,lose,0.5020686463523607
24,dqn,0,-699.0,680,400,timeout,0.4872510694864241
25,dqn,0,-566.5,520,153,lose,0.472870804501588
26,dqn,0,-867.5,690,369,lose,0.45891494499061175
27,dqn,0,-528.0,720,400,timeout,0.4453709654536918
28,dqn,0,-743.0,300,120,lose,0.43222671005672175
29,dqn,0,-847.0,560,272,lose,0.41947038172133005
30,dqn,0,-718.0,710,320,lose,0.40709053153690444
31,dqn,0,-715.5,710,303,lose,0.39507604848509953
32,dqn,0,-717.0,550,214,lose,0.3834161494676055
33,dqn,0,-389.0,790,400,timeout,0.3721003696282278
34,dqn,0,-937.5,650,387,lose,0.36111855296059203
35,dqn,0,-767.0,570,288,lose,0.3504608431930436
36,dqn,0,-874.0,610,324,lose,0.3401176749425623
37,dqn,0,-967.5,550,355,lose,0.33007976512975135
38,dqn,0,-791.0,660,400,timeout,0.3203381046471969
39,dqn,0,-759.5,630,303,lose,0.31088395027371907
40,dqn,0,-535.0,690,226,lose,0.30170881682725825
41,dqn,0,-592.0,600,190,lose,0.2928044695493541
42,dqn,0,-768.5,680,319,lose,0.284162916714381
43,dqn,0,-937.5,690,389,lose,0.2757764024569083
44,dqn,0,-823.0,610,400,timeout,0.2676373998107466
45,dqn,0,-740.0,600,264,lose,0.25973860395343285
46,dqn,0,-733.0,510,208,lose,0.2520729256500919
47,dqn,0,-682.0,640,294,lose,0.244633484890789
48,dqn,0,-563.0,680,262,lose,0.2374136047156641
49,dqn,0,-588.5,790,293,lose,0.23040680522230456
50,dqn,0,-628.5,640,223,lose,0.2236067977499791
51,dqn,0,-762.0,630,302,lose,0.2170074792355126
52,dqn,0,-693.0,740,400,timeout,0.21060292673573625
53,dqn,0,-550.5,670,211,lose,0.20438739211159668
54,dqn,0,-652.5,680,291,lose,0.1983552968691536
55,dqn,0,-417.0,690,182,lose,0.19250122715283513
56,dqn,0,-810.0,590,318,lose,0.18681992888645743
57,dqn,0,-766.0,690,310,lose,0.18130630305764775
58,dqn,0,-602.0,710,250,lose,0.17595540114143837
59,dqn,0,-746.5,800,335,lose,0.1707624206589245
60,dqn,0,-545.5,510,145,lose,0.16572270086699945
61,dqn,0,-541.5,690,221,lose,0.16083171857529904
62,dqn,0,-603.5,740,295,lose,0.15608508408660077
63,dqn,0,-536.5,740,251,lose,0.15147853725703392
64,dqn,0,-718.5,610,277,lose,0.14700794367256523
65,dqn,0,-685.0,530,194,lose,0.1426692909383279
66,dqn,0,-596.0,710,244,lose,0.1384586850774638
67,dqn,0,-410.0,730,206,lose,0.1343723470362471
68,dqn,0,-422.5,790,237,lose,0.13040660929235195
69,dqn,0,-545.0,700,230,lose,0.1265579125632209
70,dqn,0,-510.0,630,200,lose,0.12282280261157914
71,dqn,0,-696.5,550,221,lose,0.11919792714522794
72,dqn,0,-479.0,700,206,lose,0.1156800328083345
73,dqn,0,-491.5,650,215,lose,0.11226596226151811
74,dqn,0,-703.0,660,292,lose,0.10895265134811186
75,dqn,0,-578.0,780,400,timeout,0.1057371263440565
76,dqn,0,-672.0,680,400,timeout,0.10261650128895852
77,dqn,0,-507.5,530,139,lose,0.09958797539591661
78,dqn,0,-516.5,780,315,lose,0.09664883053779226
79,dqn,0,-616.0,730,288,lose,0.093796428807668
80,dqn,0,-382.5,660,143,lose,0.0910282101513041
81,dqn,0,1151.5,2020,253,win,0.08834169006946861
82,dqn,0,-719.5,770,389,lose,0.08573445738807864
83,dqn,0,-323.0,970,296,lose,0.08320417209415162
84,dqn,0,-318.5,730,191,lose,0.08074856323562424
85,dqn,0,-164.0,940,400,timeout,0.07836542688315407
86,dqn,0,-633.0,730,286,lose,0.07605262415207469
87,dqn,0,-384.5,760,251,lose,0.07380807928272894
88,dqn,0,-535.0,780,304,lose,0.07162977777745742
89,dqn,0,-439.5,790,241,lose,0.06951576459257007
90,dqn,0,-553.0,710,326,lose,0.06746414238367823
91,dqn,0,-400.0,750,238,lose,0.06547306980281233
92,dqn,0,-407.5,710,215,lose,0.06354075984579674
93,dqn,0,-686.5,730,339,lose,0.06166547824839873
94,dqn,0,-132.5,980,229,lose,0.059845541929811896
95,dqn,0,-343.5,770,267,lose,0.05807931748207717
96,dqn,0,-111.5,890,145,lose,0.0563652197040856
97,dqn,0,-602.5,750,349,lose,0.05470171017884722
