episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,montecarlo,0,-1085.0,300,282,lose,0.9704869503929601
2,montecarlo,0,-844.0,240,136,lose,0.9418449208830277
3,montecarlo,0,-938.0,400,260,lose,0.9140482050108684
4,montecarlo,0,-1086.5,370,287,lose,0.8870718549931568
5,montecarlo,0,-795.0,420,200,lose,0.8608916593317348
6,montecarlo,0,-847.0,240,130,lose,0.8354841210835904
7,montecarlo,0,-928.5,310,193,lose,0.8108264367721563
8,montecarlo,0,-763.0,310,132,lose,0.7868964759210002
9,montecarlo,0,-756.5,240,99,lose,0.7636727611915388
10,montecarlo,0,-862.0,410,212,lose,0.7411344491069478
11,montecarlo,0,-993.0,430,286,lose,0.7192613113449683
12,montecarlo,0,-1030.5,470,333,lose,0.6980337165828197
13,montecarlo,0,-798.0,300,146,lose,0.6774326128779244
14,montecarlo,0,-797.0,240,114,lose,0.6574395105686316
15,montecarlo,0,-946.5,610,343,lose,0.6380364656795915
16,montecarlo,0,-980.5,350,245,lose,0.6192060638168893
17,montecarlo,0,-775.0,470,206,lose,0.6009314045384815
18,montecarlo,0,-781.5,490,235,lose,0.5831960861859091
19,montecarlo,0,-896.5,490,273,lose,0.5659841911636728
20,montecarlo,0,-1091.0,350,304,lose,0.5492802716530589
21,montecarlo,0,-836.0,340,170,lose,0.5330693357475939
22,montecarlo,0,-1076.0,420,400,timeout,0.5173368339976833
23,montecarlo,0,-916.5,220,157,lose,0.5020686463523607
24,montecarlo,0,-851.5,230,137,lose,0.4872510694864241
25,montecarlo,0,-877.5,480,269,lose,0.472870804501588
26,montecarlo,0,-802.0,340,162,lose,0.45891494499061175
27,montecarlo,0,-1130.5,440,341,lose,0.4453709654536918
28,montecarlo,0,-841.5,450,239,lose,0.43222671005672175
29,montecarlo,0,-960.0,470,312,lose,0.41947038172133005
30,montecarlo,0,-922.0,570,310,lose,0.40709053153690444
31,montecarlo,0,-930.5,460,275,lose,0.39507604848509953
32,montecarlo,0,-923.0,480,300,lose,0.3834161494676055
33,montecarlo,0,-1139.0,380,322,lose,0.3721003696282278
34,montecarlo,0,-1157.5,440,365,lose,0.36111855296059203
35,montecarlo,0,-936.0,410,258,lose,0.3504608431930436
36,montecarlo,0,-881.5,560,293,lose,0.3401176749425623
37,montecarlo,0,-702.0,530,204,lose,0.33007976512975135
38,montecarlo,0,-841.0,450,238,lose,0.3203381046471969
39,montecarlo,0,-1101.0,580,394,lose,0.31088395027371907
40,montecarlo,0,-953.0,440,286,lose,0.30170881682725825
41,montecarlo,0,-1013.0,450,400,timeout,0.2928044695493541
42,montecarlo,0,-897.0,420,400,timeout,0.284162916714381
43,montecarlo,0,-726.0,780,338,lose,0.2757764024569083
44,montecarlo,0,-1094.5,500,389,lose,0.2676373998107466
