episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,qlearning,0,-1147.0,510,394,lose,0.9704869503929601
2,qlearning,0,-1149.0,500,396,lose,0.9418449208830277
3,qlearning,0,-1033.0,380,278,lose,0.9140482050108684
4,qlearning,0,-909.5,280,179,lose,0.8870718549931568
5,qlearning,0,-975.5,490,311,lose,0.8608916593317348
6,qlearning,0,-1007.0,380,274,lose,0.8354841210835904
7,qlearning,0,-889.5,350,207,lose,0.8108264367721563
8,qlearning,0,-723.5,240,87,lose,0.7868964759210002
9,qlearning,0,-770.5,260,125,lose,0.7636727611915388
10,qlearning,0,-754.0,190,72,lose,0.7411344491069478
11,qlearning,0,-871.5,570,311,lose,0.7192613113449683
12,qlearning,0,-857.0,600,354,lose,0.6980337165828197
13,qlearning,0,-923.0,510,318,lose,0.6774326128779244
14,qlearning,0,-843.0,560,306,lose,0.6574395105686316
15,qlearning,0,-790.0,400,210,lose,0.6380364656795915
16,qlearning,0,-661.0,360,136,lose,0.6192060638168893
17,qlearning,0,-841.0,510,280,lose,0.6009314045384815
18,qlearning,0,-647.5,580,219,lose,0.5831960861859091
19,qlearning,0,-622.5,750,299,lose,0.5659841911636728
20,qlearning,0,-861.5,530,325,lose,0.5492802716530589
21,qlearning,0,-824.0,640,380,lose,0.5330693357475939
22,qlearning,0,-605.0,640,266,lose,0.5173368339976833
23,qlearning,0,-559.0,760,400,timeout,0.5020686463523607
24,qlearning,0,-547.0,750,268,lose,0.4872510694864241
25,qlearning,0,-556.5,790,307,lose,0.472870804501588
26,qlearning,0,-728.5,410,209,lose,0.45891494499061175
27,qlearning,0,-506.0,810,312,lose,0.4453709654536918
28,qlearning,0,-338.0,590,94,lose,0.43222671005672175
29,qlearning,0,-565.0,810,346,lose,0.41947038172133005
30,qlearning,0,-525.0,810,338,lose,0.40709053153690444
31,qlearning,0,795.5,1820,267,win,0.39507604848509953
32,qlearning,0,-667.5,580,283,lose,0.3834161494676055
33,qlearning,0,-601.0,660,280,lose,0.3721003696282278
34,qlearning,0,-606.0,730,304,lose,0.36111855296059203
35,qlearning,0,-290.5,810,217,lose,0.3504608431930436
36,qlearning,0,-462.0,810,296,lose,0.3401176749425623
37,qlearning,0,1003.5,1820,281,win,0.33007976512975135
38,qlearning,0,-302.0,980,328,lose,0.3203381046471969
39,qlearning,0,-484.0,580,180,lose,0.31088395027371907
40,qlearning,0,1290.0,1820,228,win,0.30170881682725825
41,qlearning,0,-395.5,790,273,lose,0.2928044695493541
42,qlearning,0,1166.5,1820,201,win,0.284162916714381
43,qlearning,0,1333.0,1820,238,win,0.2757764024569083
44,qlearning,0,657.0,1820,370,win,0.2676373998107466
45,qlearning,0,-507.0,770,330,lose,0.25973860395343285
46,qlearning,0,-488.5,760,309,lose,0.2520729256500919
47,qlearning,0,840.5,1820,267,win,0.244633484890789
48,qlearning,0,1041.0,1820,278,win,0.2374136047156641
49,qlearning,0,1106.0,1820,250,win,0.23040680522230456
50,qlearning,0,1064.5,1820,279,win,0.2236067977499791
51,qlearning,0,-327.5,810,261,lose,0.2170074792355126
52,qlearning,0,-342.0,810,260,lose,0.21060292673573625
53,qlearning,0,911.5,1820,251,win,0.20438739211159668
54,qlearning,0,784.0,1820,320,win,0.1983552968691536
55,qlearning,0,-454.0,810,352,lose,0.19250122715283513
56,qlearning,0,891.0,1820,262,win,0.18681992888645743
57,qlearning,0,959.0,1820,246,win,0.18130630305764775
58,qlearning,0,890.0,1820,288,win,0.17595540114143837
59,qlearning,0,1104.0,1820,254,win,0.1707624206589245
60,qlearning,0,1164.0,1820,230,win,0.16572270086699945
61,qlearning,0,1366.5,1820,207,win,0.16083171857529904
62,qlearning,0,1407.0,1820,192,win,0.15608508408660077
63,qlearning,0,1151.5,2020,225,win,0.15147853725703392
64,qlearning,0,-497.0,750,378,lose,0.14700794367256523
65,qlearning,0,920.0,1820,288,win,0.1426692909383279
66,qlearning,0,1392.0,1820,210,win,0.1384586850774638
67,qlearning,0,1157.0,1820,232,win,0.1343723470362471
68,qlearning,0,1018.0,1820,194,win,0.13040660929235195
69,qlearning,0,970.5,1820,223,win,0.1265579125632209
70,qlearning,0,1361.5,1820,235,win,0.12282280261157914
71,qlearning,0,1064.5,1820,173,win,0.11919792714522794
72,qlearning,0,1676.0,1820,168,win,0.1156800328083345
73,qlearning,0,-336.5,810,315,lose,0.11226596226151811
74,qlearning,0,-314.0,700,224,lose,0.10895265134811186
75,qlearning,0,1082.5,1820,291,win,0.1057371263440565
76,qlearning,0,1631.5,1820,191,win,0.10261650128895852
77,qlearning,0,1403.5,1820,211,win,0.09958797539591661
78,qlearning,0,-331.0,730,240,lose,0.09664883053779226
