episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,reinforce,0,-1079.0,250,242,lose,0.0
2,reinforce,0,-821.5,270,151,lose,0.0
3,reinforce,0,-932.5,200,155,lose,0.0
4,reinforce,0,-1044.0,390,302,lose,0.0
5,reinforce,0,-977.5,530,323,lose,0.0
6,reinforce,0,-810.5,410,193,lose,0.0
7,reinforce,0,-933.5,310,215,lose,0.0
8,reinforce,0,-931.0,380,242,lose,0.0
9,reinforce,0,-858.0,200,114,lose,0.0
10,reinforce,0,-912.5,250,173,lose,0.0
11,reinforce,0,-986.5,350,251,lose,0.0
12,reinforce,0,-767.0,440,208,lose,0.0
13,reinforce,0,-949.0,220,156,lose,0.0
14,reinforce,0,-871.5,380,207,lose,0.0
15,reinforce,0,-874.5,190,121,lose,0.0
16,reinforce,0,-792.5,130,59,lose,0.0
17,reinforce,0,-924.5,180,135,lose,0.0
18,reinforce,0,-999.5,470,301,lose,0.0
19,reinforce,0,-1041.0,340,256,lose,0.0
20,reinforce,0,-895.5,330,203,lose,0.0
21,reinforce,0,-932.5,260,185,lose,0.0
22,reinforce,0,-927.5,190,143,lose,0.0
23,reinforce,0,-890.5,140,101,lose,0.0
24,reinforce,0,-937.0,400,252,lose,0.0
25,reinforce,0,-830.5,360,193,lose,0.0
26,reinforce,0,-869.5,390,217,lose,0.0
27,reinforce,0,-854.0,120,78,lose,0.0
28,reinforce,0,-725.0,610,266,lose,0.0
29,reinforce,0,-887.5,330,187,lose,0.0
30,reinforce,0,-848.5,320,167,lose,0.0
31,reinforce,0,-910.0,220,156,lose,0.0
32,reinforce,0,-824.0,660,400,timeout,0.0
33,reinforce,0,-829.5,390,209,lose,0.0
34,reinforce,0,-784.5,180,89,lose,0.0
35,reinforce,0,-846.5,190,107,lose,0.0
36,reinforce,0,-865.0,310,174,lose,0.0
37,reinforce,0,-849.5,210,135,lose,0.0
38,reinforce,0,-1138.0,310,300,lose,0.0
39,reinforce,0,-1126.0,340,306,lose,0.0
40,reinforce,0,-779.5,190,81,lose,0.0
41,reinforce,0,-1102.5,230,237,lose,0.0
42,reinforce,0,-732.0,350,144,lose,0.0
43,reinforce,0,-870.5,350,193,lose,0.0
44,reinforce,0,-830.5,220,123,lose,0.0
45,reinforce,0,-720.5,270,99,lose,0.0
46,reinforce,0,-852.0,410,216,lose,0.0
47,reinforce,0,-896.5,270,169,lose,0.0
48,reinforce,0,-948.5,410,259,lose,0.0
49,reinforce,0,-1071.0,490,340,lose,0.0
50,reinforce,0,-858.5,270,147,lose,0.0
51,reinforce,0,-873.5,290,163,lose,0.0
52,reinforce,0,-808.0,480,214,lose,0.0
53,reinforce,0,-854.0,340,182,lose,0.0
54,reinforce,0,-781.0,440,194,lose,0.0
55,reinforce,0,-866.5,190,123,lose,0.0
56,reinforce,0,-773.0,240,96,lose,0.0
57,reinforce,0,-1019.0,300,252,lose,0.0
58,reinforce,0,-921.0,340,214,lose,0.0
59,reinforce,0,-1041.5,410,301,lose,0.0
60,reinforce,0,-808.0,200,104,lose,0.0
61,reinforce,0,-1061.0,230,220,lose,0.0
62,reinforce,0,-922.5,410,243,lose,0.0
63,reinforce,0,-1064.0,330,252,lose,0.0
64,reinforce,0,-924.0,310,208,lose,0.0
65,reinforce,0,-988.0,320,224,lose,0.0
66,reinforce,0,-954.0,270,206,lose,0.0
67,reinforce,0,-917.5,390,235,lose,0.0
68,reinforce,0,-810.0,210,104,lose,0.0
