episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
1,sarsa,0,-915.0,510,296,lose,0.9704869503929601
2,sarsa,0,-899.0,370,218,lose,0.9418449208830277
3,sarsa,0,-733.5,210,71,lose,0.9140482050108684
4,sarsa,0,-796.5,250,121,lose,0.8870718549931568
5,sarsa,0,-874.0,430,234,lose,0.8608916593317348
6,sarsa,0,-1102.5,380,309,lose,0.8354841210835904
7,sarsa,0,-708.0,310,112,lose,0.8108264367721563
8,sarsa,0,-933.0,560,400,timeout,0.7868964759210002
9,sarsa,0,-850.0,490,264,lose,0.7636727611915388
10,sarsa,0,-685.0,500,194,lose,0.7411344491069478
11,sarsa,0,-921.0,580,322,lose,0.7192613113449683
12,sarsa,0,-652.0,790,400,timeout,0.6980337165828197
13,sarsa,0,-790.5,480,245,lose,0.6774326128779244
14,sarsa,0,-773.0,470,214,lose,0.6574395105686316
15,sarsa,0,-881.5,500,287,lose,0.6380364656795915
16,sarsa,0,-666.5,680,295,lose,0.6192060638168893
17,sarsa,0,-922.0,570,352,lose,0.6009314045384815
18,sarsa,0,-476.0,570,156,lose,0.5831960861859091
19,sarsa,0,-796.0,720,382,lose,0.5659841911636728
20,sarsa,0,-649.5,560,225,lose,0.5492802716530589
21,sarsa,0,-673.0,540,244,lose,0.5330693357475939
22,sarsa,0,-642.0,530,210,lose,0.5173368339976833
23,sarsa,0,-588.0,710,294,lose,0.5020686463523607
24,sarsa,0,-553.0,520,168,lose,0.4872510694864241
25,sarsa,0,696.5,1820,321,win,0.472870804501588
26,sarsa,0,-573.5,590,229,lose,0.45891494499061175
27,sarsa,0,-635.0,760,350,lose,0.4453709654536918
28,sarsa,0,-547.5,690,275,lose,0.43222671005672175
29,sarsa,0,-238.5,990,275,lose,0.41947038172133005
30,sarsa,0,-656.0,800,388,lose,0.40709053153690444
31,sarsa,0,-675.0,740,378,lose,0.39507604848509953
32,sarsa,0,-423.5,790,269,lose,0.3834161494676055
33,sarsa,0,1250.5,1820,259,win,0.3721003696282278
34,sarsa,0,792.5,1820,285,win,0.36111855296059203
35,sarsa,0,-529.5,800,363,lose,0.3504608431930436
36,sarsa,0,-458.0,760,272,lose,0.3401176749425623
37,sarsa,0,810.5,1820,291,win,0.33007976512975135
38,sarsa,0,-366.5,780,231,lose,0.3203381046471969
39,sarsa,0,-522.5,810,375,lose,0.31088395027371907
40,sarsa,0,813.5,1820,285,win,0.30170881682725825
41,sarsa,0,1221.5,1820,269,win,0.2928044695493541
42,sarsa,0,-422.0,750,228,lose,0.284162916714381
43,sarsa,0,-416.0,730,236,lose,0.2757764024569083
44,sarsa,0,1058.5,1820,267,win,0.2676373998107466
45,sarsa,0,746.5,1820,359,win,0.25973860395343285
46,sarsa,0,-484.5,560,189,lose,0.2520729256500919
47,sarsa,0,-518.0,770,340,lose,0.244633484890789
48,sarsa,0,1210.0,1820,292,win,0.2374136047156641
49,sarsa,0,1098.5,1820,271,win,0.23040680522230456
50,sarsa,0,1271.5,1820,289,win,0.2236067977499791
51,sarsa,0,993.0,1820,338,win,0.2170074792355126
52,sarsa,0,-523.5,530,183,lose,0.21060292673573625
53,sarsa,0,-220.0,720,106,lose,0.20438739211159668
54,sarsa,0,837.5,1820,339,win,0.1983552968691536
55,sarsa,0,-573.0,680,366,lose,0.19250122715283513
56,sarsa,0,1193.0,1820,202,win,0.18681992888645743
57,sarsa,0,-342.5,810,297,lose,0.18130630305764775
58,sarsa,0,1524.5,2020,225,win,0.17595540114143837
59,sarsa,0,1246.0,1820,286,win,0.1707624206589245
60,sarsa,0,84.0,790,400,timeout,0.16572270086699945
61,sarsa,0,1314.0,1820,228,win,0.16083171857529904
62,sarsa,0,1253.5,1820,189,win,0.15608508408660077
63,sarsa,0,1418.0,1820,182,win,0.15147853725703392
64,sarsa,0,1360.0,1820,202,win,0.14700794367256523
65,sarsa,0,1125.5,1820,265,win,0.1426692909383279
66,sarsa,0,1397.0,1820,206,win,0.1384586850774638
67,sarsa,0,-323.5,780,283,lose,0.1343723470362471
68,sarsa,0,1190.5,1820,243,win,0.13040660929235195
69,sarsa,0,1455.5,1820,173,win,0.1265579125632209
70,sarsa,0,1475.0,1820,170,win,0.12282280261157914
71,sarsa,0,1008.5,1820,213,win,0.11919792714522794
72,sarsa,0,1638.0,1820,178,win,0.1156800328083345
73,sarsa,0,1270.0,1820,168,win,0.11226596226151811
74,sarsa,0,912.5,1820,273,win,0.10895265134811186
75,sarsa,0,1646.5,1820,173,win,0.1057371263440565
76,sarsa,0,1624.5,1820,199,win,0.10261650128895852
77,sarsa,0,1398.5,1820,209,win,0.09958797539591661
78,sarsa,0,1633.0,1820,176,win,0.09664883053779226
79,sarsa,0,1170.0,1820,224,win,0.093796428807668
80,sarsa,0,1648.5,1820,175,win,0.0910282101513041
81,sarsa,0,1632.0,1820,196,win,0.08834169006946861
82,sarsa,0,28.5,1000,193,lose,0.08573445738807864
83,sarsa,0,1469.5,1820,163,win,0.08320417209415162
84,sarsa,0,1394.5,1820,247,win,0.08074856323562424
85,sarsa,0,1452.5,1820,191,win,0.07836542688315407
86,sarsa,0,1424.0,1820,200,win,0.07605262415207469
87,sarsa,0,1461.0,1820,168,win,0.07380807928272894
88,sarsa,0,1.5,970,169,lose,0.07162977777745742
89,sarsa,0,1249.5,1820,167,win,0.06951576459257007
90,sarsa,0,1646.0,1820,186,win,0.06746414238367823
91,sarsa,0,1438.0,1820,190,win,0.06547306980281233
92,sarsa,0,1462.5,1820,171,win,0.06354075984579674
93,sarsa,0,1479.0,1820,192,win,0.06166547824839873
94,sarsa,0,1422.5,1820,197,win,0.059845541929811896
95,sarsa,0,1704.5,1820,153,win,0.05807931748207717
96,sarsa,0,1498.0,1820,148,win,0.0563652197040856
97,sarsa,0,1400.0,1820,254,win,0.05470171017884722
98,sarsa,0,1622.5,1820,221,win,0.053087295892748985
99,sarsa,0,1247.0,1820,184,win,0.051520527895562676
100,sarsa,0,1177.0,1820,228,win,0.05000000000000005
101,sarsa,0,1415.0,1820,230,win,0.05
102,sarsa,0,1241.5,1820,183,win,0.05
103,sarsa,0,1279.0,1820,156,win,0.05
104,sarsa,0,1220.5,1820,201,win,0.05
105,sarsa,0,1700.0,1820,156,win,0.05
106,sarsa,0,29.0,980,164,lose,0.05
107,sarsa,0,1485.0,1820,144,win,0.05
108,sarsa,0,1059.0,1820,166,win,0.05
109,sarsa,0,-446.0,740,352,lose,0.05
110,sarsa,0,1464.0,1820,174,win,0.05
111,sarsa,0,1431.5,2020,203,win,0.05
112,sarsa,0,-287.0,740,286,lose,0.05
113,sarsa,0,1158.0,1820,272,win,0.05
114,sarsa,0,1451.0,1820,170,win,0.05
115,sarsa,0,1523.5,2020,133,win,0.05
116,sarsa,0,1712.0,1820,144,win,0.05
117,sarsa,0,1285.5,1820,167,win,0.05
118,sarsa,0,1265.0,1820,178,win,0.05
119,sarsa,0,1705.0,1820,146,win,0.05
